,time,open,high,low,close,tick_volume,spread,real_volume
288,2023-10-30 05:48:00,32489.8,32490.2,32488.3,32490.2,23,30,0
289,2023-10-30 05:49:00,32490.7,32492.7,32489.2,32489.7,25,31,0
290,2023-10-30 05:50:00,32489.7,32490.2,32486.2,32490.2,33,32,0
291,2023-10-30 05:51:00,32489.7,32491.6,32488.7,32491.6,22,27,0
292,2023-10-30 05:52:00,32492.1,32492.6,32490.1,32490.6,20,37,0
293,2023-10-30 05:53:00,32490.1,32492.2,32490.1,32490.7,17,32,0
294,2023-10-30 05:54:00,32491.2,32491.2,32488.2,32489.2,16,32,0
295,2023-10-30 05:55:00,32489.7,32490.2,32486.2,32486.7,22,30,0
296,2023-10-30 05:56:00,32487.2,32489.7,32485.7,32489.7,26,31,0
297,2023-10-30 05:57:00,32489.2,32489.2,32486.7,32487.7,23,31,0
298,2023-10-30 05:58:00,32487.7,32493.2,32487.7,32492.7,28,27,0
299,2023-10-30 05:59:00,32493.2,32493.7,32491.7,32492.2,16,37,0
300,2023-10-30 06:00:00,32492.2,32497.1,32491.2,32494.6,34,23,0
301,2023-10-30 06:01:00,32494.1,32496.1,32493.6,32495.6,16,43,0
302,2023-10-30 06:02:00,32496.1,32496.1,32491.6,32491.6,18,33,0
303,2023-10-30 06:03:00,32492.1,32493.6,32491.1,32492.1,28,33,0
304,2023-10-30 06:04:00,32492.6,32494.1,32491.6,32493.1,21,33,0
305,2023-10-30 06:05:00,32492.6,32493.3,32491.7,32491.7,20,30,0
306,2023-10-30 06:06:00,32491.2,32491.2,32487.7,32488.7,18,31,0
307,2023-10-30 06:07:00,32488.2,32488.2,32484.2,32486.2,27,32,0
308,2023-10-30 06:08:00,32486.7,32488.2,32484.2,32487.2,37,31,0
309,2023-10-30 06:09:00,32486.7,32488.2,32484.7,32486.6,23,32,0
310,2023-10-30 06:10:00,32487.1,32491.6,32487.1,32491.1,25,33,0
311,2023-10-30 06:11:00,32491.6,32493.7,32491.1,32493.6,23,42,0
312,2023-10-30 06:12:00,32493.7,32493.7,32491.2,32491.2,12,42,0
313,2023-10-30 06:13:00,32491.7,32491.7,32489.8,32490.3,13,40,0
314,2023-10-30 06:14:00,32490.8,32491.3,32488.8,32489.8,32,30,0
315,2023-10-30 06:15:00,32490.3,32491.3,32487.2,32489.2,33,30,0
316,2023-10-30 06:16:00,32489.3,32490.3,32486.8,32489.7,30,30,0
317,2023-10-30 06:17:00,32490.2,32490.7,32489.2,32489.7,14,41,0
318,2023-10-30 06:18:00,32490.2,32490.2,32485.7,32486.2,32,31,0
319,2023-10-30 06:19:00,32485.7,32489.2,32485.2,32487.7,38,41,0
320,2023-10-30 06:20:00,32488.2,32489.3,32487.8,32488.3,18,40,0
321,2023-10-30 06:21:00,32488.8,32489.3,32487.8,32488.8,14,34,0
322,2023-10-30 06:22:00,32489.3,32494.2,32487.3,32494.2,32,30,0
323,2023-10-30 06:23:00,32494.7,32494.7,32491.7,32491.7,27,32,0
324,2023-10-30 06:24:00,32492.2,32495.2,32491.2,32495.2,20,37,0
325,2023-10-30 06:25:00,32494.7,32498.7,32494.7,32497.1,41,32,0
326,2023-10-30 06:26:00,32497.1,32499.6,32496.1,32499.6,23,33,0
327,2023-10-30 06:27:00,32499.1,32502.6,32498.1,32500.6,30,33,0
328,2023-10-30 06:28:00,32500.1,32504.6,32499.1,32503.1,32,27,0
329,2023-10-30 06:29:00,32503.6,32504.2,32501.2,32502.6,26,32,0
330,2023-10-30 06:30:00,32502.1,32503.2,32501.1,32502.2,46,33,0
331,2023-10-30 06:31:00,32502.7,32505.2,32501.2,32503.7,37,27,0
332,2023-10-30 06:32:00,32503.2,32503.7,32502.6,32503.2,23,37,0
333,2023-10-30 06:33:00,32503.2,32504.7,32502.2,32502.2,24,32,0
334,2023-10-30 06:34:00,32501.7,32503.2,32501.2,32503.2,27,31,0
335,2023-10-30 06:35:00,32502.7,32502.7,32499.7,32501.2,34,31,0
